dataset,condition,seed,corruption,severity,clean_bacc,corrupted_bacc,corrupted_error,BE,rBE,rBE_valid,rBE_small_denominator,alexnet_error,rBE_denominator
blood,pretrained,0,pixelate,1,0.9899915047646126,0.9690428295497581,0.030957170450241933,1.190675519636188,1.4773207418115761,True,True,0.05975618949678589,0.0413869074025192
blood,pretrained,0,pixelate,2,0.9899915047646126,0.9727220144774519,0.02727798552254812,1.190675519636188,1.4773207418115761,True,True,0.05975618949678589,0.0413869074025192
blood,pretrained,0,pixelate,3,0.9899915047646126,0.91310042585971,0.08689957414029004,1.190675519636188,1.4773207418115761,True,True,0.05975618949678589,0.0413869074025192
blood,pretrained,0,pixelate,4,0.9899915047646126,0.8879223847684812,0.11207761523151882,1.190675519636188,1.4773207418115761,True,True,0.05975618949678589,0.0413869074025192
blood,pretrained,0,pixelate,5,0.9899915047646126,0.9014611854417787,0.09853881455822133,1.190675519636188,1.4773207418115761,True,True,0.05975618949678589,0.0413869074025192
blood,pretrained,1,pixelate,1,0.9867345502282888,0.9572921547041569,0.04270784529584315,1.5688017894412007,1.9445803586700279,True,True,0.05975618949678589,0.0413869074025192
blood,pretrained,1,pixelate,2,0.9867345502282888,0.9543252528950898,0.04567474710491015,1.5688017894412007,1.9445803586700279,True,True,0.05975618949678589,0.0413869074025192
blood,pretrained,1,pixelate,3,0.9867345502282888,0.8967812583375826,0.1032187416624174,1.5688017894412007,1.9445803586700279,True,True,0.05975618949678589,0.0413869074025192
blood,pretrained,1,pixelate,4,0.9867345502282888,0.879330229662904,0.12066977033709603,1.5688017894412007,1.9445803586700279,True,True,0.05975618949678589,0.0413869074025192
blood,pretrained,1,pixelate,5,0.9867345502282888,0.8435430193365407,0.15645698066345926,1.5688017894412007,1.9445803586700279,True,True,0.05975618949678589,0.0413869074025192
blood,pretrained,2,pixelate,1,0.9911905785219126,0.9736674418396012,0.02633255816039881,1.2696546082036724,1.6203264291527322,True,True,0.05975618949678589,0.0413869074025192
blood,pretrained,2,pixelate,2,0.9911905785219126,0.9839730884069207,0.01602691159307934,1.2696546082036724,1.6203264291527322,True,True,0.05975618949678589,0.0413869074025192
blood,pretrained,2,pixelate,3,0.9911905785219126,0.9112731542217314,0.08872684577826861,1.2696546082036724,1.6203264291527322,True,True,0.05975618949678589,0.0413869074025192
blood,pretrained,2,pixelate,4,0.9911905785219126,0.863681441993382,0.13631855800661796,1.2696546082036724,1.6203264291527322,True,True,0.05975618949678589,0.0413869074025192
blood,pretrained,2,pixelate,5,0.9911905785219126,0.8880562667219343,0.11194373327806573,1.2696546082036724,1.6203264291527322,True,True,0.05975618949678589,0.0413869074025192
blood,pretrained,3,pixelate,1,0.9910253517357612,0.9740595505896155,0.025940449410384536,1.1357726461413635,1.4230296704958825,True,True,0.05975618949678589,0.0413869074025192
blood,pretrained,3,pixelate,2,0.9910253517357612,0.970018219949347,0.029981780050652995,1.1357726461413635,1.4230296704958825,True,True,0.05975618949678589,0.0413869074025192
blood,pretrained,3,pixelate,3,0.9910253517357612,0.9341580426018458,0.06584195739815424,1.1357726461413635,1.4230296704958825,True,True,0.05975618949678589,0.0413869074025192
blood,pretrained,3,pixelate,4,0.9910253517357612,0.8990260455375029,0.10097395446249713,1.1357726461413635,1.4230296704958825,True,True,0.05975618949678589,0.0413869074025192
blood,pretrained,3,pixelate,5,0.9910253517357612,0.8833909139812426,0.11660908601875741,1.1357726461413635,1.4230296704958825,True,True,0.05975618949678589,0.0413869074025192
blood,pretrained,4,pixelate,1,0.9920144566582404,0.9577463077566322,0.042253692243367835,1.4414518062139756,1.888281315169977,True,True,0.05975618949678589,0.0413869074025192
blood,pretrained,4,pixelate,2,0.9920144566582404,0.971143353081726,0.028856646918274054,1.4414518062139756,1.888281315169977,True,True,0.05975618949678589,0.0413869074025192
