dataset,family,n,mean_delta_BE,ci_low,ci_high
blood,blur,2,0.3187203404637462,0.2929480865295523,0.34449259439794017
blood,color,5,5.533308948164013,2.650991970115529,9.324032018036089
blood,digital,2,-0.7826840581406109,-0.9172566947037436,-0.6481114215774783
blood,task_specific,2,0.7688772429379421,0.07408597716636561,1.4636685087095187
derma,blur,3,-0.28935447521735214,-0.37095891624247757,-0.2453042828402423
derma,color,4,0.33280853637568625,0.2524650319295379,0.3984402747022372
derma,digital,2,-0.30521268058396045,-0.4416756880739485,-0.16874967309397237
derma,noise,4,-0.09612044530682973,-0.12079680231933282,-0.07144408829432664
derma,task_specific,2,0.35874245378510244,0.32982652193947093,0.38765838563073396
pneumonia,blur,1,-0.31380281690140843,-0.31380281690140843,-0.31380281690140843
pneumonia,color,6,0.6133702663587849,0.5017966193239646,0.748572308872023
pneumonia,digital,2,-0.4095958643907966,-0.5569334147831398,-0.26225831399845334
pneumonia,noise,4,-0.5023800762014143,-0.5849548301570562,-0.4481503942218293
