dataset,family,n_corruptions,mean_delta_bacc,mean_delta_BE
blood,blur,2,0.06459263762076084,0.3187203404637462
blood,color,5,0.30736806863233423,5.533308948164013
blood,digital,2,-0.07269651473100419,-0.7826840581406109
blood,task_specific,2,0.14043178453906263,0.7688772429379421
derma,blur,3,-0.18219649093236354,-0.28935447521735214
derma,color,4,0.1628905999596443,0.33280853637568625
derma,digital,2,-0.1484499931612101,-0.30521268058396045
derma,noise,4,-0.07601564547545259,-0.09612044530682973
derma,task_specific,2,0.21167819016670644,0.35874245378510244
pneumonia,blur,1,-0.08569230769230773,-0.31380281690140843
pneumonia,color,6,0.09576923076923079,0.6133702663587849
pneumonia,digital,2,-0.10690598290598297,-0.4095958643907966
pneumonia,noise,4,-0.21009401709401704,-0.5023800762014143
