dataset,family,n,median_delta_BE,W,p_raw,p_holm
blood,blur,2,0.3187203404637462,0.0,0.5,1.0
blood,color,5,4.329212662192297,0.0,0.0625,0.25
blood,digital,2,-0.7826840581406109,0.0,0.5,1.0
blood,task_specific,2,0.7688772429379421,0.0,0.5,1.0
derma,blur,3,-0.25180022656933654,0.0,0.25,0.75
derma,color,4,0.3475203024952836,0.0,0.125,0.625
derma,digital,2,-0.30521268058396045,0.0,0.5,1.0
derma,noise,4,-0.09826098875381362,0.0,0.125,0.625
derma,task_specific,2,0.35874245378510244,0.0,0.5,1.0
pneumonia,color,6,0.5678599478097843,0.0,0.03125,0.09375
pneumonia,digital,2,-0.4095958643907966,0.0,0.5,0.5
pneumonia,noise,4,-0.46965374685332023,0.0,0.125,0.25
