dataset,condition_pre,seed,clean_test_bacc_pre,mean_corrupted_bacc_pre,mean_BE_pre,mean_valid_rBE_pre,valid_rBE_n_pre,absolute_drop_pre,condition_scratch,clean_test_bacc_scratch,mean_corrupted_bacc_scratch,mean_BE_scratch,mean_valid_rBE_scratch,valid_rBE_n_scratch,absolute_drop_scratch,clean_gain,corrupted_gain,drop_advantage,BE_advantage,rBE_advantage
blood,pretrained,0,0.9899915047646126,0.9007318630321549,1.192914862750544,1.5702895827151082,11,0.0892596417324577,scratch,0.986881642329062,0.7293063995732642,3.728955961249008,5.647897569933228,11,0.2575752427557978,0.00310986243555067,0.17142546345889076,0.1683156010233401,2.536041098498464,4.07760798721812
blood,pretrained,1,0.9867345502282888,0.8752409341198066,1.4542199043023718,1.8048952008609027,11,0.11149361610848219,scratch,0.9886038123934132,0.7158498445500844,4.085609015536601,6.353343321850724,11,0.27275396784332884,-0.0018692621651243968,0.15939108956972226,0.16126035173484665,2.6313891112342294,4.548448120989821
blood,pretrained,2,0.9911905785219126,0.8884231733418922,1.2927580272449088,1.6586526297120996,11,0.10276740518002037,scratch,0.978331286151004,0.7219392943592541,3.8081580237574304,5.603156661095352,11,0.2563919917917499,0.01285929237090866,0.16648387898263817,0.1536245866117295,2.5153999965125218,3.9445040313832527
blood,pretrained,3,0.9910253517357612,0.8944278033650577,1.237832526745236,1.597742042008047,11,0.09659754837070356,scratch,0.9881007357017896,0.7225983651524621,3.885946145503132,5.922072728208278,11,0.26550237054932746,0.00292461603397165,0.17182943821259555,0.1689048221786239,2.648113618757896,4.324330686200231
blood,pretrained,4,0.9920144566582404,0.8919137445526221,1.1897650920411147,1.4900256094562074,11,0.10010071210561833,scratch,0.988147309202292,0.742181724767692,3.711717535829922,5.737474356279438,11,0.24596558443460004,0.0038671474559484054,0.14973201978493011,0.1458648723289817,2.5219524437888072,4.24744874682323
derma,pretrained,0,0.7104744268353997,0.3849356220409374,1.0028668303248476,1.8185920118175265,15,0.32553880479446234,scratch,0.5642540763608883,0.414794513533466,0.974348813733363,0.8386203652074721,15,0.1494595628274223,0.14622035047451143,-0.029858891492528628,-0.17607924196704006,-0.028518016591484563,-0.9799716466100544
derma,pretrained,1,0.7440463834561305,0.42844422834642654,0.926157049678946,1.6961495004606157,15,0.31560215510970396,scratch,0.5453605518324164,0.39924009664249477,0.9980980308093381,0.7330261992838074,15,0.14612045518992162,0.19868583162371412,0.02920413170393177,-0.16948169991978235,0.07194098113039216,-0.9631233011768083
derma,pretrained,2,0.684106628040369,0.379855929436493,1.016791043749786,1.7140862584161023,15,0.30425069860387605,scratch,0.5534051671878045,0.3999951553747768,0.9951030584360783,0.8109683120876664,15,0.1534100118130277,0.1307014608525645,-0.020139225938283822,-0.15084068679084833,-0.021687985313707747,-0.9031179463284359
derma,pretrained,3,0.759823002459764,0.40994788756672107,0.9545632080953855,1.9499199966216985,15,0.3498751148930429,scratch,0.5595158868406569,0.4173308581630497,0.965551947092963,0.7122950352332372,15,0.14218502867760718,0.20030711561910708,-0.007382970596328642,-0.20769008621543572,0.010988738997577463,-1.2376249613884611
derma,pretrained,4,0.7342786555676982,0.4154030081297009,0.9482452075833838,1.7115814944783778,15,0.31887564743799734,scratch,0.5462305203322988,0.41143713875626864,0.9774376510358247,0.6380802660079404,15,0.13479338157603016,0.18804813523539943,0.00396586937343224,-0.1840822658619672,0.029192443452440875,-1.0735012284704375
pneumonia,pretrained,0,0.9098290598290598,0.7488297172912557,0.918402029990457,0.9518605500262154,11,0.16099934253780412,scratch,0.808974358974359,0.7652268244575937,1.115082818318722,0.48271812938616526,11,0.043747534516765274,0.10085470085470083,-0.01639710716633802,-0.11725180802103885,0.19668078832826508,-0.46914242064005013
pneumonia,pretrained,1,0.8713675213675214,0.6802301117685733,1.2094492755451531,1.1842966888503317,11,0.1911374095989481,scratch,0.8247863247863247,0.7544707429322813,1.1085132465297636,0.4945365726143645,11,0.07031558185404341,0.04658119658119664,-0.07424063116370805,-0.12082182774490469,-0.10093602901538956,-0.6897601162359672
pneumonia,pretrained,2,0.8833333333333333,0.7092439184746876,1.0930318558259164,0.9837232662888077,11,0.1740894148586457,scratch,0.7790598290598291,0.7476331360946745,1.1550208327824234,0.4015899807411179,11,0.031426692965154546,0.10427350427350424,-0.038389217619986926,-0.14266272189349116,0.06198897695650696,-0.5821332855476897
pneumonia,pretrained,3,0.9055555555555556,0.7668573307034845,0.882369443804168,0.8095303308491647,11,0.13869822485207106,scratch,0.8196581196581196,0.7797304404996713,1.0279259586008591,0.4652863751126403,11,0.039927679158448304,0.08589743589743593,-0.012873109796186832,-0.09877054569362276,0.14555651479669107,-0.3442439557365244
pneumonia,pretrained,4,0.8747863247863248,0.704319526627219,1.1137788466338028,0.9985897888444009,11,0.17046679815910581,scratch,0.8111111111111111,0.7798290598290598,1.0172988831308254,0.31583708300118746,11,0.031282051282051304,0.06367521367521367,-0.07550953320184084,-0.1391847468770545,-0.09647996350297738,-0.6827527058432135
