dataset,condition_pre,family,severity,corrupted_bacc_pre,condition_scratch,corrupted_bacc_scratch,gap
blood,pretrained,blur,1,0.9822034487754712,scratch,0.9664856558504846,0.01571779292498654
blood,pretrained,blur,2,0.9688257009722043,scratch,0.9077039117283652,0.06112178924383915
blood,pretrained,blur,3,0.9556843661737627,scratch,0.86672063322315,0.08896373295061277
blood,pretrained,blur,4,0.9125663625379742,scratch,0.816285186284991,0.09628117625298316
blood,pretrained,blur,5,0.8554090912248842,scratch,0.7945303944935022,0.06087869673138202
blood,pretrained,color,1,0.9864353001168188,scratch,0.9302920734888656,0.056143226627953235
blood,pretrained,color,2,0.9624874358223912,scratch,0.7101242587002151,0.25236317712217604
blood,pretrained,color,3,0.8815038003496205,scratch,0.47614774748982613,0.40535605285979437
blood,pretrained,color,4,0.7945048034279403,scratch,0.37536296028794963,0.41914184313999064
blood,pretrained,color,5,0.7208991883748537,scratch,0.31706314496309673,0.40383604341175694
blood,pretrained,digital,1,0.9750270938964251,scratch,0.982959561000132,-0.007932467103706986
blood,pretrained,digital,2,0.9729775399834091,scratch,0.9804583157913754,-0.0074807758079663556
blood,pretrained,digital,3,0.904949158765676,scratch,0.9729653456210379,-0.06801618685536182
blood,pretrained,digital,4,0.814367992682754,scratch,0.9418491158478695,-0.1274811231651155
blood,pretrained,digital,5,0.7476959190985235,scratch,0.9002679398213942,-0.15257202072287068
blood,pretrained,task_specific,1,0.9641896307493113,scratch,0.8682699051055918,0.09591972564371953
blood,pretrained,task_specific,2,0.9335227981361662,scratch,0.798781325237509,0.13474147289865723
blood,pretrained,task_specific,3,0.8877794237095561,scratch,0.7395800490888591,0.148199374620697
blood,pretrained,task_specific,4,0.8784957539807341,scratch,0.7332090736992528,0.14528668028148128
blood,pretrained,task_specific,5,0.8607857503475218,scratch,0.6827740810967639,0.17801166925075795
derma,pretrained,blur,1,0.39794712483040207,scratch,0.5189958854462272,-0.12104876061582515
derma,pretrained,blur,2,0.3569172640003373,scratch,0.5074106322341534,-0.1504933682338161
derma,pretrained,blur,3,0.29435866005905564,scratch,0.484617334322659,-0.19025867426360338
derma,pretrained,blur,4,0.25481174189252104,scratch,0.47107445425928113,-0.2162627123667601
derma,pretrained,blur,5,0.21904343613874377,scratch,0.45196237532055705,-0.23291893918181328
derma,pretrained,color,1,0.7051913146555961,scratch,0.5158375578411808,0.18935375681441535
derma,pretrained,color,2,0.6484091887387924,scratch,0.447851432755394,0.20055775598339837
derma,pretrained,color,3,0.5695595296392814,scratch,0.3875027290560324,0.18205680058324897
derma,pretrained,color,4,0.48715608628745627,scratch,0.3453756526713378,0.14178043361611847
derma,pretrained,color,5,0.40814676201367933,scratch,0.30744250921263905,0.10070425280104028
derma,pretrained,digital,1,0.5392672921935017,scratch,0.5457013257799886,-0.006434033586486976
derma,pretrained,digital,2,0.4881555049660992,scratch,0.5389953980691974,-0.050839893103098166
derma,pretrained,digital,3,0.3457045682078934,scratch,0.5362171265901511,-0.19051255838225767
derma,pretrained,digital,4,0.26711800767070676,scratch,0.5225955214619249,-0.25547751379121814
derma,pretrained,digital,5,0.26681518142123706,scratch,0.5058011483642268,-0.2389859669429898
derma,pretrained,noise,1,0.32976999823332165,scratch,0.46368887502084977,-0.13391887678752812
derma,pretrained,noise,2,0.24593567635826283,scratch,0.3450472906583498,-0.099111614300087
derma,pretrained,noise,3,0.2135269579786824,scratch,0.2844087979990379,-0.0708818400203555
derma,pretrained,noise,4,0.1590273263164416,scratch,0.21608444851687306,-0.057057122200431465
derma,pretrained,noise,5,0.1485965014109294,scratch,0.16770527547979025,-0.019108774068860856
derma,pretrained,task_specific,1,0.6739693857247129,scratch,0.46241433183998276,0.21155505388473012
derma,pretrained,task_specific,2,0.6446464803140705,scratch,0.4371320030629741,0.20751447725109634
derma,pretrained,task_specific,3,0.611841498309162,scratch,0.4052059343711855,0.2066355639379765
derma,pretrained,task_specific,4,0.5924144186803446,scratch,0.37179825660508825,0.22061616207525636
derma,pretrained,task_specific,5,0.5942117052678875,scratch,0.3821420115834143,0.21206969368447315
pneumonia,pretrained,blur,1,0.7839316239316239,scratch,0.7841025641025642,-0.00017094017094032576
pneumonia,pretrained,blur,2,0.6987179487179487,scratch,0.7614529914529914,-0.06273504273504271
pneumonia,pretrained,blur,3,0.629059829059829,scratch,0.7347008547008547,-0.10564102564102562
pneumonia,pretrained,blur,4,0.582051282051282,scratch,0.7123076923076923,-0.13025641025641033
pneumonia,pretrained,blur,5,0.552991452991453,scratch,0.6826495726495726,-0.12965811965811957
pneumonia,pretrained,color,1,0.8851709401709402,scratch,0.8053703703703704,0.07980056980056982
pneumonia,pretrained,color,2,0.8744017094017095,scratch,0.7858974358974359,0.08850427350427359
pneumonia,pretrained,color,3,0.8543874643874644,scratch,0.752934472934473,0.10145299145299136
pneumonia,pretrained,color,4,0.8209116809116809,scratch,0.7115527065527066,0.10935897435897424
pneumonia,pretrained,color,5,0.7482193732193732,scratch,0.6484900284900285,0.0997293447293447
pneumonia,pretrained,digital,1,0.8232905982905983,scratch,0.8039316239316239,0.01935897435897438
pneumonia,pretrained,digital,2,0.7552136752136752,scratch,0.8023504273504274,-0.04713675213675217
pneumonia,pretrained,digital,3,0.6735042735042736,scratch,0.7993162393162393,-0.12581196581196574
pneumonia,pretrained,digital,4,0.6551282051282051,scratch,0.795982905982906,-0.14085470085470086
pneumonia,pretrained,digital,5,0.5480769230769231,scratch,0.7881623931623932,-0.2400854700854701
