dataset,family,severity,n_seeds,mean_gap,sd_gap,ci_low,ci_high,monotonic_metric
blood,blur,1,5,0.015717792924986606,0.01573765458049709,0.006845700777730346,0.029937528487116217,pretrained_minus_scratch_bacc
blood,blur,2,5,0.06112178924383913,0.03752274582624627,0.036037098191602744,0.09254006310664831,pretrained_minus_scratch_bacc
blood,blur,3,5,0.08896373295061281,0.04742904244647106,0.057588237085205926,0.12734962780178607,pretrained_minus_scratch_bacc
blood,blur,4,5,0.0962811762529832,0.0553795292390535,0.06174173725967118,0.14635068675051593,pretrained_minus_scratch_bacc
blood,blur,5,5,0.06087869673138215,0.0695107232287616,0.017217111310955758,0.12213872262400398,pretrained_minus_scratch_bacc
blood,color,1,5,0.056143226627953305,0.016942714539873116,0.043638035998852964,0.06864841725705365,pretrained_minus_scratch_bacc
blood,color,2,5,0.25236317712217604,0.023705313117989023,0.2336589025047056,0.2691340743811459,pretrained_minus_scratch_bacc
blood,color,3,5,0.4053560528597943,0.01932333253906361,0.38829635164969806,0.41911169901018575,pretrained_minus_scratch_bacc
blood,color,4,5,0.41914184313999064,0.025324502008812814,0.3971836238499826,0.43682146410527045,pretrained_minus_scratch_bacc
blood,color,5,5,0.40383604341175694,0.02463247208803557,0.38378180750283136,0.4222827645972432,pretrained_minus_scratch_bacc
blood,digital,1,5,-0.007932467103706963,0.00806257917136739,-0.01362840494635682,-0.0010992384301764524,pretrained_minus_scratch_bacc
blood,digital,2,5,-0.0074807758079662,0.013022451569454122,-0.0173490428679846,0.0024076084045351774,pretrained_minus_scratch_bacc
blood,digital,3,5,-0.06801618685536195,0.022035238422816943,-0.08550262607849568,-0.050529747632228214,pretrained_minus_scratch_bacc
blood,digital,4,5,-0.12748112316511542,0.03723977143684912,-0.15706401875449866,-0.09787718383345527,pretrained_minus_scratch_bacc
blood,digital,5,5,-0.1525720207228708,0.0320143744397366,-0.18073006797333813,-0.13232063143031728,pretrained_minus_scratch_bacc
blood,task,1,5,0.0959197256437194,0.04282659319451402,0.06378260741005584,0.12995303251308488,pretrained_minus_scratch_bacc
blood,task,2,5,0.13474147289865723,0.05838064960221539,0.09039927435290014,0.17908367144441434,pretrained_minus_scratch_bacc
blood,task,3,5,0.14819937462069685,0.06133120715575825,0.10078740202759946,0.19561134721379425,pretrained_minus_scratch_bacc
blood,task,4,5,0.1452866802814812,0.06463623785043443,0.09407189111982332,0.1948114351165931,pretrained_minus_scratch_bacc
blood,task,5,5,0.17801166925075798,0.05234776154165752,0.13692531815099884,0.21909802035051712,pretrained_minus_scratch_bacc
derma,blur,1,5,-0.12104876061582512,0.04185613970459924,-0.15223793205003572,-0.08985958918161446,pretrained_minus_scratch_bacc
derma,blur,2,5,-0.15049336823381604,0.04480542379526689,-0.1847833992595258,-0.11565862977714078,pretrained_minus_scratch_bacc
derma,blur,3,5,-0.1902586742636033,0.04367415941574275,-0.2244080963769668,-0.1561092521502398,pretrained_minus_scratch_bacc
derma,blur,4,5,-0.21626271236676003,0.045350545746709846,-0.25094835564699636,-0.1815770690865237,pretrained_minus_scratch_bacc
derma,blur,5,5,-0.23291893918181325,0.03752076952546496,-0.2616298548378382,-0.20420802352578837,pretrained_minus_scratch_bacc
derma,color,1,5,0.1893537568144154,0.02911616945150891,0.16700167223094298,0.21170584139788778,pretrained_minus_scratch_bacc
derma,color,2,5,0.20055775598339834,0.019907040645642624,0.18533135600177866,0.2155077465910729,pretrained_minus_scratch_bacc
derma,color,3,5,0.18205680058324894,0.018300835121294032,0.16772249115449503,0.19639111001200282,pretrained_minus_scratch_bacc
derma,color,4,5,0.14178043361611842,0.018355570920421137,0.12797073476686063,0.15559013246537623,pretrained_minus_scratch_bacc
derma,color,5,5,0.10070425280104027,0.019006186662399817,0.08386899678147194,0.11289303080925288,pretrained_minus_scratch_bacc
derma,digital,1,5,-0.006434033586486976,0.031316602241547795,-0.0300963772747332,0.017971382407049652,pretrained_minus_scratch_bacc
derma,digital,2,5,-0.05083989310309818,0.025073829404753042,-0.07067471508752995,-0.031005071118666395,pretrained_minus_scratch_bacc
derma,digital,3,5,-0.1905125583822576,0.030499411732407607,-0.20899022953592777,-0.16351531405607278,pretrained_minus_scratch_bacc
derma,digital,4,5,-0.255477513791218,0.05102491370848366,-0.29207744733912266,-0.20879911834558743,pretrained_minus_scratch_bacc
derma,digital,5,5,-0.23898596694298974,0.049079622203890026,-0.27107570340798376,-0.1957927002764362,pretrained_minus_scratch_bacc
derma,noise,1,5,-0.13391887678752812,0.018112441102580135,-0.1472844831360085,-0.11854298331382547,pretrained_minus_scratch_bacc
derma,noise,2,5,-0.099111614300087,0.036548449779385,-0.1274731554686347,-0.0707500731315393,pretrained_minus_scratch_bacc
derma,noise,3,5,-0.07088184002035551,0.057674115574242756,-0.11603015799542185,-0.025733522045289208,pretrained_minus_scratch_bacc
derma,noise,4,5,-0.05705712220043148,0.05728352760064929,-0.10187206597701312,-0.01224217842384982,pretrained_minus_scratch_bacc
derma,noise,5,5,-0.019108774068860877,0.029869309377736613,-0.04412624854664713,0.0014630562196096542,pretrained_minus_scratch_bacc
derma,task,1,5,0.2115550538847301,0.038832593280628644,0.18118945062816447,0.24080614215487411,pretrained_minus_scratch_bacc
derma,task,2,5,0.20751447725109626,0.03587332279206022,0.17929434387667986,0.23457774870340492,pretrained_minus_scratch_bacc
derma,task,3,5,0.2066355639379765,0.03031016025575256,0.1795120228113019,0.22675379158999204,pretrained_minus_scratch_bacc
derma,task,4,5,0.2206161620752564,0.04356772024754573,0.18638877564350484,0.25318211960468245,pretrained_minus_scratch_bacc
derma,task,5,5,0.21206969368447312,0.030937453396442122,0.186139632708195,0.23252311009411045,pretrained_minus_scratch_bacc
pneumonia,blur,1,5,-0.00017094017094023694,0.06460246671397302,-0.05649572649572661,0.04478632478632476,pretrained_minus_scratch_bacc
pneumonia,blur,2,5,-0.06273504273504274,0.07092884267495424,-0.12324786324786322,-0.01427350427350429,pretrained_minus_scratch_bacc
pneumonia,blur,3,5,-0.10564102564102562,0.07438316238879208,-0.16435897435897434,-0.04769230769230766,pretrained_minus_scratch_bacc
pneumonia,blur,4,5,-0.13025641025641027,0.07272268819517723,-0.18683760683760692,-0.06760683760683761,pretrained_minus_scratch_bacc
pneumonia,blur,5,5,-0.12965811965811963,0.061774387497492304,-0.1715384615384615,-0.07820512820512819,pretrained_minus_scratch_bacc
pneumonia,color,1,5,0.07980056980056978,0.028955623945110663,0.05706552706552703,0.10253561253561252,pretrained_minus_scratch_bacc
pneumonia,color,2,5,0.08850427350427355,0.026280246465567193,0.06861823361823365,0.1102849002849003,pretrained_minus_scratch_bacc
pneumonia,color,3,5,0.10145299145299143,0.027657053756003754,0.079059829059829,0.12160968660968659,pretrained_minus_scratch_bacc
