dataset,family,monotonic_decreasing,severity1_gap,severity5_gap
blood,blur,False,0.01571779292498654,0.06087869673138202
blood,color,False,0.056143226627953235,0.40383604341175694
blood,digital,False,-0.007932467103706986,-0.15257202072287068
blood,task_specific,False,0.09591972564371953,0.17801166925075795
derma,blur,True,-0.12104876061582515,-0.23291893918181328
derma,color,False,0.18935375681441535,0.10070425280104028
derma,digital,False,-0.006434033586486976,-0.2389859669429898
derma,noise,False,-0.13391887678752812,-0.019108774068860856
derma,task_specific,False,0.21155505388473012,0.21206969368447315
pneumonia,blur,False,-0.00017094017094032576,-0.12965811965811957
pneumonia,color,False,0.07980056980056982,0.0997293447293447
pneumonia,digital,True,0.01935897435897438,-0.2400854700854701
pneumonia,noise,False,-0.13995726495726513,-0.24931623931623936
