Dataset,Corruption family,N corruptions,Δ bACC (pp),Δ BE
blood,blur,2,6.4592637620760796,0.3187203404637462
blood,color,5,30.73680686323342,5.533308948164013
blood,digital,2,-7.269651473100409,-0.7826840581406109
blood,task_specific,2,14.043178453906261,0.7688772429379421
derma,blur,3,-18.219649093236352,-0.2893544752173521
derma,color,4,16.28905999596443,0.3328085363756862
derma,digital,2,-14.84499931612101,-0.3052126805839604
derma,noise,4,-7.601564547545251,-0.0961204453068297
derma,task_specific,2,21.167819016670638,0.3587424537851024
pneumonia,blur,1,-8.56923076923077,-0.3138028169014084
pneumonia,color,6,9.57692307692307,0.6133702663587849
pneumonia,digital,2,-10.69059829059829,-0.4095958643907966
pneumonia,noise,4,-21.0094017094017,-0.5023800762014143
